,Unnamed: 0,datetime,name,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
513,513,2014,Beijing,42.0,19.8,30.4,39.0,19.8,29.3,10.1,33.6,0.0,0,0.0,,,,,21.6,13.5,997.7,27.9,15.4,338.6,29.2,10,,2014-05-29T04:49:42,2014-05-29T19:34:19,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3838,3838,2023,Beijing,42.0,19.0,31.6,40.6,19.0,30.9,54.9,36.7,0.0,0,0.0,,0.0,0.0,29.4,15.7,188.1,990.2,29.7,7.4,310.5,27.0,10,10.0,2023-07-06T04:52:02,2023-07-06T19:46:05,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
3824,3824,2023,Beijing,41.0,20.0,32.3,39.2,20.0,31.3,53.4,33.7,0.0,0,0.0,,0.0,0.0,25.7,11.2,155.8,1003.4,12.7,7.6,349.3,30.1,10,10.0,2023-06-22T04:46:15,2023-06-22T19:46:31,0.13,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3833,3833,2023,Beijing,41.0,24.0,33.0,40.1,24.0,32.7,58.6,36.4,0.0,0,0.0,,0.0,0.0,30.6,17.9,174.2,1000.6,73.4,7.4,301.5,26.2,9,10.0,2023-07-01T04:49:24,2023-07-01T19:46:58,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2005,2005,2018,Beijing,40.2,20.0,30.0,38.5,20.0,29.1,12.5,39.0,5.0,100,4.17,rain,0.0,0.0,32.4,39.6,140.2,998.0,51.4,12.0,317.3,27.6,9,,2018-06-29T04:48:33,2018-06-29T19:47:01,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,precipitation,"ZBAA,54511099999"
3826,3826,2023,Beijing,40.0,25.0,33.0,38.2,25.0,32.6,57.6,37.6,0.0,0,0.0,,0.0,0.0,26.8,22.4,168.9,1006.1,18.9,7.2,348.7,30.1,10,10.0,2023-06-24T04:46:46,2023-06-24T19:46:51,0.2,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3837,3837,2023,Beijing,40.0,20.0,30.6,37.5,20.0,29.7,56.5,49.1,0.0,0,0.0,,0.0,0.0,29.1,17.9,274.1,990.6,6.9,6.7,350.5,30.3,10,10.0,2023-07-05T04:51:28,2023-07-05T19:46:19,0.56,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
923,923,2015,Beijing,40.0,24.0,32.4,39.5,24.0,32.3,16.4,43.5,0.0,0,0.0,,,,,21.6,180.1,997.5,50.7,9.9,268.5,23.1,9,,2015-07-13T04:56:29,2015-07-13T19:43:24,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3832,3832,2023,Beijing,40.0,21.7,31.2,39.9,21.7,31.6,62.3,46.2,0.0,0,0.0,,0.0,0.0,27.7,13.4,162.5,998.3,9.3,7.1,349.1,30.1,10,10.0,2023-06-30T04:48:57,2023-06-30T19:47:03,0.39,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
3825,3825,2023,Beijing,40.0,24.0,32.1,39.9,24.0,32.4,60.1,39.5,0.0,0,0.0,,0.0,0.0,27.7,13.4,142.7,1004.0,29.9,7.2,342.9,29.6,10,10.0,2023-06-23T04:46:30,2023-06-23T19:46:42,0.16,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
1981,1981,2018,Beijing,40.0,19.0,30.5,37.0,19.0,29.1,6.9,26.2,0.0,0,0.0,,0.0,0.0,50.4,32.4,181.4,1000.2,38.1,10.9,328.8,28.5,9,,2018-06-05T04:46:48,2018-06-05T19:39:17,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
2392,2392,2019,Beijing,40.0,25.0,31.6,47.1,25.0,35.4,23.2,64.5,0.0,0,0.0,,0.0,0.0,39.6,21.6,190.5,1001.5,64.8,7.0,273.0,23.8,9,,2019-07-21T05:02:43,2019-07-21T19:38:31,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3818,3818,2023,Beijing,40.0,21.0,31.8,39.4,21.0,31.8,60.1,42.1,0.0,0,0.0,,0.0,0.0,22.4,15.7,186.7,1006.1,30.8,6.2,342.6,29.5,10,10.0,2023-06-16T04:45:27,2023-06-16T19:44:50,0.93,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"ZBAA,54511099999"
3834,3834,2023,Beijing,39.0,23.9,31.8,39.8,23.9,32.9,63.9,45.2,0.0,0,0.0,,0.0,0.0,22.4,11.2,143.6,1003.0,70.8,6.6,322.3,27.9,9,10.0,2023-07-02T04:49:53,2023-07-02T19:46:51,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"ZBAA,54511099999"
3823,3823,2023,Beijing,39.0,17.0,29.1,37.4,17.0,28.2,54.4,43.0,0.0,0,0.0,,0.0,0.0,24.4,11.2,183.2,1003.9,0.5,6.2,352.8,30.5,10,10.0,2023-06-21T04:46:03,2023-06-21T19:46:19,0.1,Clear,Clear conditions throughout the day.,clear-day,"ZBAA,54511099999"
